:Issued: Wed Jul  2 02:13:48 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/05/31  00:00:08.434 23845810.fts
  last  c2: 2025/07/01  22:36:07.527 23849459.fts
  first c3: 2025/05/31  03:30:07.484 33833840.fts
  last  c3: 2025/07/01  20:30:07.417 33837447.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0129|2025/06/24 16:24| 01 | 110| 026| 0496| 0129| 0294| 0692|    
  0128|2025/06/24 13:25| 01 | 259| 012| 0781| 0363| 0488| 1359|    
  0127|2025/06/24 09:00| 01 | 259| 012| 0854| 0087| 0744| 1008|    
  0126|2025/06/24 07:24| 01 | 263| 016| 0919| 0007| 0905| 0919|    
  0125|2025/06/23 08:12| 01 | 268| 010| 0362| 0342| 0233| 0947|    
  0124|2025/06/23 02:36| 01 | 313| 016| 0215| 0752| 0120| 1838|    
  0123|2025/06/23 00:24| 03 | 305| 032| 0245| 0055| 0175| 0347|    
  0122|2025/06/22 23:12| 01 | 105| 012| 0466| 0035| 0428| 0520|    
  0121|2025/06/22 18:00| 01 | 263| 008| 0992| 0115| 0819| 1157|    
  0120|2025/06/22 17:00| 01 | 041| 036| 0186| 0032| 0129| 0248|    
  0119|2025/06/22 13:48| 02 | 321| 068| 0374| 0182| 0170| 0822|    
  0118|2025/06/22 12:00| 01 | 259| 008| 0558| 0160| 0411| 0844|    
  0117|2025/06/21 11:12| 06 | 039| 060| 0145| 0044| 0100| 0256|    
  0116|2025/06/20 23:48| 01 | 358| 034| 0214| 0070| 0155| 0339|    
  0115|2025/06/20 23:12| 03 | 347| 048| 0221| 0059| 0168| 0351|    
  0114|2025/06/20 17:24| 03 | 099| 052| 0470| 0153| 0300| 0868|    
  0113|2025/06/20 17:12| 00 | 121| 020| 0632| 0096| 0548| 0868|    
  0112|2025/06/20 15:36| 01 | 325| 016| 0702| 0081| 0553| 0762|    
  0111|2025/06/20 07:36| 01 | 063| 016| 0822| 0316| 0416| 1488|    
  0110|2025/06/20 02:24| 02 | 117| 012| 0683| 0272| 0466| 1201|    
  0109|2025/06/20 01:36| 04 | 268| 022| 0643| 0167| 0347| 0892|    
  0108|2025/06/20 01:36| 02 | 285| 008| 0822| 0222| 0529| 1157|    
  0107|2025/06/20 00:12| 01 | 321| 016| 0336| 0051| 0262| 0388|    
  0106|2025/06/20 00:00| 01 | 346| 010| 0495| 0212| 0206| 0762|    
  0105|2025/06/19 22:12| 00 | 248| 010| 0568| 0111| 0361| 0671|    
  0104|2025/06/19 21:12| 02 | 128| 022| 0416| 0135| 0260| 0672|    
  0103|2025/06/19 14:12| 04 | 112| 046| 0488| 0114| 0293| 0710|    
  0102|2025/06/19 08:24| 01 | 066| 010| 0473| 0022| 0462| 0512|    
  0101|2025/06/19 02:36| 01 | 213| 012| 0332| 0072| 0242| 0440|    
  0100|2025/06/19 02:36| 01 | 235| 036| 0452| 0059| 0355| 0521|    
  0099|2025/06/18 23:24| 01 | 300| 018| 0409| 0071| 0228| 0476|    
  0098|2025/06/18 21:24| 02 | 353| 008| 0500| 0244| 0385| 0976|    
  0097|2025/06/18 14:36| 02 | 295| 008| 0161| 0149| 0130| 0422|    
  0096|2025/06/18 06:36| 01 | 138| 006| 1562| 0081| 1420| 1562|    
  0095|2025/06/18 06:36| 02 | 012| 034| 0945| 0777| 0158| 1953|    
  0094|2025/06/18 05:00| 02 | 235| 020| 0469| 0534| 0175| 1838|    
  0093|2025/06/18 05:00| 03 | 272| 130| 0411| 0182| 0183| 0892|  II
  0092|2025/06/17 23:12| 02 | 277| 068| 0267| 0094| 0100| 0473|    
  0091|2025/06/17 16:24| 02 | 107| 036| 0529| 0598| 0180| 1837|    
  0090|2025/06/17 15:52| 01 | 025| 012| 0771| 0234| 0606| 1310|    
  0089|2025/06/17 14:24| 01 | 268| 018| 0386| 0079| 0242| 0529|    
  0088|2025/06/17 14:24| 03 | 098| 026| 0271| 0062| 0147| 0357|    
  0087|2025/06/17 09:12| 03 | 101| 052| 0309| 0295| 0104| 1008|    
  0086|2025/06/17 08:12| 01 | 016| 022| 0679| 0066| 0589| 0814|    
  0085|2025/06/17 07:00| 03 | 094| 058| 0390| 0582| 0150| 1736|    
  0084|2025/06/17 02:12| 01 | 294| 006| 0959| 0723| 0218| 1735|    
  0083|2025/06/17 00:48| 05 | 075| 132| 0332| 0252| 0192| 1043|  II
  0082|2025/06/16 19:48| 01 | 308| 010| 0260| 0024| 0233| 0302|    
  0081|2025/06/16 12:00| 01 | 240| 006| 0498| 0082| 0411| 0631|    
  0080|2025/06/16 09:12| 01 | 300| 006| 0152| 0025| 0124| 0187|    
  0079|2025/06/16 08:36| 04 | 354| 062| 0695| 0308| 0113| 1079|    
  0078|2025/06/16 07:24| 03 | 316| 074| 0365| 0078| 0214| 0558|    
  0077|2025/06/16 04:00| 01 | 008| 006| 0417| 0254| 0336| 0919|    
  0076|2025/06/16 03:36| 07 | 161| 300| 0727| 0541| 0170| 1953|  IV
  0075|2025/06/15 19:24| 08 | 174| 282| 1838| 0178| 1358| 1953|  IV
  0074|2025/06/15 18:24| 01 | 021| 008| 0512| 0160| 0440| 0822|    
  0073|2025/06/15 18:24| 01 | 006| 050| 1008| 0134| 0726| 1201|    
  0072|2025/06/15 09:36| 02 | 134| 046| 1389| 0449| 0538| 1896|    
  0071|2025/06/15 06:36| 03 | 254| 050| 0142| 0063| 0101| 0309|    
  0070|2025/06/15 06:36| 02 | 274| 118| 0405| 0124| 0224| 0710|  II
  0069|2025/06/15 06:36| 01 | 245| 012| 0176| 0034| 0142| 0246|    
  0068|2025/06/15 04:24| 01 | 003| 040| 0694| 0265| 0413| 1453|    
  0067|2025/06/14 22:00| 01 | 010| 026| 0488| 0150| 0312| 0743|    
  0066|2025/06/14 15:24| 01 | 004| 018| 0466| 0250| 0250| 1008|    
  0065|2025/06/14 13:48| 01 | 019| 012| 1489| 0292| 1158| 1955|    
  0064|2025/06/14 07:24| 02 | 243| 032| 0163| 0041| 0123| 0260|    
  0063|2025/06/14 03:24| 01 | 004| 006| 1423| 0355| 0992| 1893|    
  0062|2025/06/14 03:24| 02 | 240| 050| 0292| 0035| 0217| 0372|    
  0061|2025/06/13 19:48| 02 | 256| 022| 0823| 0417| 0190| 1562|    
  0060|2025/06/13 16:36| 02 | 019| 024| 0473| 0154| 0361| 0844|    
  0059|2025/06/13 06:24| 02 | 070| 014| 0512| 0096| 0400| 0694|    
  0058|2025/06/13 04:49| 09 | 315| 052| 0187| 0089| 0114| 0405|    
  0057|2025/06/13 01:36| 01 | 234| 018| 0242| 0067| 0165| 0361|    
  0056|2025/06/12 19:12| 07 | 057| 048| 0589| 0254| 0244| 1040|    
  0055|2025/06/12 15:48| 02 | 236| 014| 0593| 0737| 0188| 1953|    
  0054|2025/06/12 11:24| 01 | 262| 026| 0266| 0028| 0224| 0318|    
  0053|2025/06/12 07:24| 03 | 238| 026| 0785| 0536| 0180| 1644|    
  0052|2025/06/12 07:12| 01 | 294| 030| 0946| 0561| 0125| 1562|    
  0051|2025/06/12 07:00| 02 | 140| 070| 1076| 0332| 0462| 1644|    
  0050|2025/06/12 05:36| 02 | 353| 024| 0710| 0132| 0422| 0892|    
  0049|2025/06/12 05:12| 01 | 005| 012| 0208| 0085| 0159| 0395|    
  0048|2025/06/12 05:12| 03 | 083| 024| 0258| 0102| 0131| 0499|    
  0047|2025/06/12 01:36| 03 | 246| 026| 0457| 0074| 0339| 0601|    
  0046|2025/06/12 00:12| 01 | 256| 006| 0898| 0557| 0383| 1644|    
  0045|2025/06/11 23:24| 01 | 219| 044| 1040| 0681| 0363| 1953|    
  0044|2025/06/11 23:24| 06 | 054| 114| 0126| 0019| 0102| 0195|  II
  0043|2025/06/11 21:36| 02 | 287| 100| 0762| 0323| 0248| 1562|  II
  0042|2025/06/11 18:48| 03 | 080| 026| 0844| 0463| 0480| 1838|    
  0041|2025/06/11 18:13| 02 | 231| 040| 0294| 0239| 0134| 0822|    
  0040|2025/06/11 15:24| 01 | 071| 016| 0600| 0428| 0148| 1358|    
  0039|2025/06/11 14:24| 01 | 059| 016| 1250| 0389| 0376| 1562|    
  0038|2025/06/11 11:12| 02 | 071| 008| 0222| 0192| 0106| 0558|    
  0037|2025/06/11 06:36| 02 | 260| 030| 0259| 0441| 0177| 1358|    
  0036|2025/06/11 03:36| 02 | 063| 016| 0393| 0023| 0351| 0433|    
  0035|2025/06/11 02:24| 01 | 263| 008| 0347| 0030| 0294| 0359|    
  0034|2025/06/10 23:00| 01 | 088| 006| 0472| 0245| 0318| 0919|    
  0033|2025/06/10 19:00| 01 | 055| 020| 0942| 0224| 0762| 1420|    
  0032|2025/06/10 18:36| 02 | 096| 010| 0695| 0281| 0328| 1225|    
  0031|2025/06/10 16:48| 01 | 055| 020| 0961| 0182| 0657| 1225|    
  0030|2025/06/10 15:12| 01 | 047| 020| 1302| 0325| 0868| 1838|    
  0029|2025/06/10 01:36| 02 | 241| 008| 0270| 0023| 0229| 0292|    
  0028|2025/06/10 00:36| 10 | 061| 076| 0343| 0300| 0106| 1202|    
  0027|2025/06/09 21:00| 03 | 060| 026| 0801| 0142| 0525| 1041|    
  0026|2025/06/09 20:24| 02 | 257| 020| 0264| 0032| 0260| 0343|    
  0025|2025/06/09 20:24| 01 | 257| 048| 0315| 0047| 0194| 0405|    
  0024|2025/06/09 15:12| 02 | 055| 036| 1077| 0467| 0244| 1689|    
  0023|2025/06/09 11:00| 01 | 055| 012| 1562| 0379| 0869| 1960|    
  0022|2025/06/08 22:12| 03 | 264| 038| 0272| 0097| 0208| 0543|    
  0021|2025/06/08 21:36| 01 | 056| 022| 0782| 0028| 0744| 0822|    
  0020|2025/06/08 15:12| 01 | 299| 008| 1736| 0182| 1420| 1953|    
  0019|2025/06/08 14:48| 01 | 260| 006| 0783| 0592| 0247| 1838|    
  0018|2025/06/08 11:36| 09 | 107| 124| 0315| 0359| 0236| 1249|  II
  0017|2025/06/08 08:00| 11 | 271| 236| 0801| 0530| 0129| 1953| III
  0016|2025/06/08 05:36| 02 | 077| 008| 0154| 0013| 0137| 0169|    
  0015|2025/06/08 04:00| 03 | 049| 056| 0156| 0028| 0106| 0199|    
  0014|2025/06/06 11:24| 01 | 010| 018| 0508| 0035| 0452| 0568|    
  0013|2025/06/06 11:12| 01 | 098| 010| 0690| 0365| 0363| 1420|    
  0012|2025/06/06 11:12| 01 | 066| 066| 0520| 0158| 0179| 0710|    
  0011|2025/06/05 21:29| 01 | 155| 016| 0883| 0402| 0440| 1588|    
  0010|2025/06/05 08:12| 04 | 029| 052| 1296| 0120| 1116| 1524|    
  0009|2025/06/05 03:48| 01 | 090| 014| 0232| 0056| 0176| 0322|    
  0008|2025/06/04 18:48| 01 | 056| 018| 0232| 0103| 0205| 0452|    
  0007|2025/06/03 07:48| 03 | 051| 096| 0181| 0026| 0124| 0231|  II
  0006|2025/06/02 17:24| 02 | 018| 014| 0416| 0037| 0405| 0499|    
  0005|2025/06/02 13:36| 01 | 230| 010| 1133| 0443| 0395| 1562|    
  0004|2025/06/02 13:25| 07 | 353| 056| 0220| 0050| 0127| 0328|    
  0003|2025/06/02 07:24| 02 | 308| 054| 0414| 0113| 0152| 0589|    
  0002|2025/06/01 21:24| 02 | 084| 026| 0241| 0066| 0175| 0422|    
  0001|2025/06/01 00:36| 02 | 083| 008| 0176| 0011| 0163| 0194|    
 
# Flow|          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0031|2025/06/30 00:36| 01 | 340| 006| 0326| 0158| 0274| 0638|    
  0030|2025/06/26 01:48| 01 | 291| 012| 0105| 0013| 0101| 0130|    
  0029|2025/06/26 01:36| 01 | 325| 016| 0187| 0252| 0115| 0637|    
  0028|2025/06/25 03:36| 01 | 263| 012| 1275| 0531| 0217| 1329|    
  0027|2025/06/23 08:12| 01 | 267| 008| 0801| 0000| 0801| 0801|    
  0026|2025/06/19 18:36| 01 | 117| 012| 0283| 0060| 0256| 0395|    
  0025|2025/06/19 05:12| 00 | 305| 008| 0254| 0016| 0227| 0262|    
  0024|2025/06/18 15:54| 01 | 319| 024| 0340| 0079| 0195| 0411|    
  0023|2025/06/18 07:24| 01 | 323| 016| 0141| 0023| 0118| 0180|    
  0022|2025/06/17 18:24| 01 | 075| 012| 0226| 0004| 0218| 0228|    
  0021|2025/06/16 17:24| 01 | 117| 012| 0197| 0029| 0167| 0248|    
  0020|2025/06/16 16:00| 02 | 347| 020| 0239| 0000| 0239| 0239|    
  0019|2025/06/16 11:36| 01 | 121| 020| 1047| 0530| 0176| 1644|    
  0018|2025/06/15 04:00| 01 | 252| 054| 0254| 0015| 0226| 0289|    
  0017|2025/06/14 02:24| 01 | 010| 006| 0241| 0086| 0191| 0405|    
  0016|2025/06/12 12:00| 03 | 227| 036| 0395| 0118| 0220| 0612|    
  0015|2025/06/12 09:48| 01 | 235| 012| 1157| 0655| 0106| 1644|    
  0014|2025/06/12 02:48| 00 | 071| 012| 0256| 0011| 0243| 0275|    
  0013|2025/06/11 06:48| 01 | 068| 010| 0161| 0065| 0101| 0254|    
  0012|2025/06/10 11:12| 02 | 056| 022| 0880| 0265| 0672| 1562|    
  0011|2025/06/09 08:36| 00 | 030| 018| 1294| 0000| 1294| 1294|    
  0010|2025/06/09 04:18| 00 | 092| 014| 0297| 0048| 0230| 0381|    
  0009|2025/06/09 01:48| 01 | 118| 014| 0165| 0029| 0117| 0206|    
  0008|2025/06/08 23:48| 01 | 097| 024| 0241| 0059| 0118| 0322|    
  0007|2025/06/08 21:48| 01 | 189| 008| 0149| 0018| 0133| 0181|    
  0006|2025/06/08 19:00| 02 | 187| 008| 0932| 0606| 0146| 1736|    
  0005|2025/06/08 16:48| 01 | 259| 008| 1953| 0000| 1953| 1953|    
  0004|2025/06/08 12:48| 01 | 188| 006| 0372| 0047| 0325| 0441|    
  0003|2025/06/07 21:12| 01 | 053| 008| 0325| 0064| 0223| 0376|    
  0002|2025/06/03 07:54| 01 | 027| 016| 0167| 0017| 0133| 0196|    
  0001|2025/06/03 02:42| 03 | 034| 010| 0113| 0000| 0113| 0114|    
